| 2010-08-26T21:16:44Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | la accion es: Display |
| 2010-08-26T21:16:45Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no ALLOWWEBVIEW defined |
| 2010-08-26T21:16:45Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no DENYWEBVIEW defined |
| 2010-08-26T21:16:45Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no ALLOWWEBCHANGE defined |
| 2010-08-26T21:16:45Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no ALLOWWEBRENAME defined |
| 2010-08-26T21:16:45Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no ALLOWWEBVIEW defined |
| 2010-08-26T21:16:45Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no DENYWEBVIEW defined |
| 2010-08-26T21:16:45Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no ALLOWWEBCHANGE defined |
| 2010-08-26T21:16:45Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no ALLOWWEBRENAME defined |
| 2010-08-26T21:18:43Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | la accion es: Display |
| 2010-08-26T21:18:43Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no ALLOWWEBVIEW defined |
| 2010-08-26T21:18:43Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no DENYWEBVIEW defined |
| 2010-08-26T21:18:43Z warning | Foswiki::Plugins::WebPermissionsPlugin::Core | WebPermissionsPlugin::Core::_getACLs: no ALLOWWEBCHANGE defined |
